#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Chromosomes	Organelles	Plasmids	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Saccharomyces cerevisiae YJM189	1294303	PRJNA189847	189847	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM193	1294304	PRJNA189848	189848	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM195	1294305	PRJNA189849	189849	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM244	1294306	PRJNA189850	189850	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM248	1294307	PRJNA189851	189851	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM270	1294308	PRJNA189852	189852	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM271	1294309	PRJNA189853	189853	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM320	947042	PRJNA189854	189854	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM326	468558	PRJNA189855	189855	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM428	947044	PRJNA189856	189856	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM450	1294310	PRJNA189857	189857	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM451	502869	PRJNA189858	189858	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM453	1294311	PRJNA189859	189859	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM456	1294312	PRJNA189860	189860	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM470	1294313	PRJNA189861	189861	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM541	1294314	PRJNA189862	189862	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM554	1294315	PRJNA189863	189863	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM555	1294316	PRJNA189864	189864	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM627	1294317	PRJNA189865	189865	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM681	1294318	PRJNA189866	189866	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM682	1294319	PRJNA189867	189867	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM683	1294320	PRJNA189868	189868	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM689	1294321	PRJNA189869	189869	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM693	1294322	PRJNA189870	189870	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM969	1294323	PRJNA189871	189871	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM972	1294324	PRJNA189872	189872	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM975	1294325	PRJNA189873	189873	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM978	1294326	PRJNA189874	189874	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM981	1294327	PRJNA189875	189875	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM984	1294328	PRJNA189876	189876	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM987	1294329	PRJNA189877	189877	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM990	1294330	PRJNA189878	189878	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM993	1294331	PRJNA189879	189879	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM996	1294332	PRJNA189880	189880	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1133	1294333	PRJNA189881	189881	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1190	1294334	PRJNA189882	189882	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1199	1294335	PRJNA189883	189883	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1202	1294336	PRJNA189884	189884	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1208	1294337	PRJNA189885	189885	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1242	1294338	PRJNA189886	189886	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1244	1294339	PRJNA189887	189887	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1248	1294340	PRJNA189888	189888	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1250	1294341	PRJNA189889	189889	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1252	1294342	PRJNA189890	189890	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1273	1294343	PRJNA189891	189891	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1304	1294344	PRJNA189892	189892	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1307	1294345	PRJNA189893	189893	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1311	1294346	PRJNA189894	189894	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1326	1294347	PRJNA189895	189895	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1332	1294348	PRJNA189896	189896	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1336	1294349	PRJNA189897	189897	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1338	1294350	PRJNA189898	189898	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1341	1294351	PRJNA189899	189899	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1342	1294352	PRJNA189900	189900	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1355	1294353	PRJNA189901	189901	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1356	1294354	PRJNA189902	189902	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1381	1294355	PRJNA189903	189903	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1383	1294356	PRJNA189904	189904	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1385	1294357	PRJNA189905	189905	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1386	1294358	PRJNA189906	189906	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1387	1294359	PRJNA189907	189907	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1388	1294360	PRJNA189908	189908	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1389	1294361	PRJNA189909	189909	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1399	1294362	PRJNA189910	189910	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1400	1294363	PRJNA189911	189911	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1401	1294364	PRJNA189912	189912	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1402	1294365	PRJNA189913	189913	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1415	1294366	PRJNA189914	189914	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1417	1294367	PRJNA189915	189915	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1418	1294368	PRJNA189916	189916	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1419	1294369	PRJNA189917	189917	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1433	1294370	PRJNA189918	189918	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1434	1294371	PRJNA189919	189919	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1439	1294372	PRJNA189920	189920	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1443	1294373	PRJNA189921	189921	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1444	1294374	PRJNA189922	189922	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1447	1294375	PRJNA189923	189923	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1450	1294376	PRJNA189924	189924	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1460	1294377	PRJNA189925	189925	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1463	1294378	PRJNA189926	189926	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1477	1294379	PRJNA189927	189927	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1478	1294380	PRJNA189928	189928	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1479	1294381	PRJNA189929	189929	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1526	1294382	PRJNA189930	189930	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1527	1294383	PRJNA189931	189931	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1549	1294384	PRJNA189932	189932	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1573	1294385	PRJNA189933	189933	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1574	1294386	PRJNA189934	189934	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1592	1294387	PRJNA189935	189935	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1615	1294388	PRJNA189936	189936	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae W303	580240	PRJNA192270	192270	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Harvard University	-
Saccharomyces cerevisiae NY1308	1331972	PRJNA202086	202086	Fungi	Ascomycetes	11.5142	38.2	GCA_000416405.1	-	-	-	ASJZ01	35	-	-	2013/06/28	2013/06/28	Scaffolds or contigs	Zhejiang University	-
Saccharomyces cerevisiae W303	580240	PRJNA209500	209500	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Princeton University	-
Saccharomyces cerevisiae BY4741	1247190	PRJNA214015	214015	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	PSU	-
Saccharomyces cerevisiae S96 x YJM789	1382555	PRJNA214368	214368	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	UCSF	-
Saccharomyces cerevisiae BY4741	1247190	PRJNA222645	222645	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Intitut Curie	-
Saccharomyces cerevisiae FY	1416897	PRJNA226089	226089	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Washington	-
Saccharomyces cerevisiae	4932	PRJNA227459	227459	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Institute for Cell and Molecular Biology, University of Texas at Austin	-
Saccharomyces cerevisiae NAM34-4C	1352823	PRJDB1381	231437	Fungi	Ascomycetes	11.5537	38.1	GCA_000508805.1	-	-	-	BAUH01	154	-	-	2013/12/11	2013/12/11	Scaffolds or contigs	National Institute of Advanced Industrial Science and Technology	-
Saccharomyces cerevisiae IR-2	1352824	PRJDB1382	231438	Fungi	Ascomycetes	11.4416	38.2	GCA_000508825.1	-	-	-	BAUI01	322	-	-	2013/12/11	2013/12/11	Scaffolds or contigs	National Institute of Advanced Industrial Science and Technology	-
Saccharomyces cerevisiae W303	580240	PRJNA233409	233409	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of California, Berkeley	-
Aspergillus nidulans FGSC A4	227321	PRJNA130	130	Fungi	Ascomycetes	30.2427	48.2938	GCA_000149205.1	-	1	-	AACD01	90	147	114	2003/04/07	2012/03/26	Scaffolds or contigs	Broad Institute	-
Aspergillus nidulans FGSC A4	227321	PRJEA40559	40559	Fungi	Ascomycetes	29.8283	50.37	GCA_000011425.1	8	-	-	-	8	10597	10534	2009/09/24	2009/10/02	Chromosomes	Eurofungbase (Eurofung)	-
Aspergillus fumigatus Af293	330879	PRJNA131	131	Fungi	Ascomycetes	29.385	49.8	GCA_000002655.1	8	1	-	AAHF01	8	9916	9630	2005/06/01	2009/11/11	Chromosomes	J. Craig Venter Institute	-
Aspergillus fumigatus A1163	451804	PRJNA18733	18733	Fungi	Ascomycetes	29.2054	49.4748	GCA_000150145.1	-	1	-	ABDB01	55	10176	9948	2007/06/26	2008/04/18	Scaffolds or contigs	J. Craig Venter Institute	-
Aspergillus fumigatus Af10	1035095	PRJNA46347	46347	Fungi	Ascomycetes	28.7591	49.5	GCA_000225625.2	-	-	-	AFXL01	1129	-	-	2011/09/09	2011/09/09	Scaffolds or contigs	JCVI	-
Aspergillus fumigatus AF210	888744	PRJNA52783	52783	Fungi	Ascomycetes	28.9028	49.2738	GCA_000225645.2	-	1	-	AFXM01	447	53	20	2011/09/09	2011/09/09	Scaffolds or contigs	JCVI	-
Neurospora crassa OR74A	367110	PRJNA13841	13841	Fungi	Ascomycetes	39.2258	33.5	GCA_000182925.1	7	1	-	AABX02	251	130	122	2003/03/12	2013/03/03	Chromosomes	Broad Institute	-
Neurospora crassa OR74A	367110	PRJNA40071	40071	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Phanerochaete chrysosporium RP-78	273507	PRJNA135	135	Fungi	Basidiomycetes	29.8426	57	GCA_000167175.1	-	-	-	AADS01	1323	-	-	2004/04/29	2007/01/17	Scaffolds or contigs	DOE Joint Genome Institute	-
Candida albicans SC5314	237561	PRJNA10701	10701	Fungi	Ascomycetes	27.5589	33.4	GCA_000182965.2	-	-	-	AACQ01	413	14217	14217	2004/04/21	2009/11/10	Scaffolds or contigs	Stanford University	-
Candida albicans WO-1	294748	PRJNA16373	16373	Fungi	Ascomycetes	14.473	33.5	GCA_000149445.2	5	-	-	AAFO01	17	14	14	2006/03/28	2009/06/10	Chromosomes	Broad Institute	-
Candida albicans 23R	1040604	PRJNA67711	67711	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 23B	1040605	PRJNA67713	67713	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 23Q	1040606	PRJNA67715	67715	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 23P	1040607	PRJNA67717	67717	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 25N	1040608	PRJNA67719	67719	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 24A	1040609	PRJNA67721	67721	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 24C	1040610	PRJNA67723	67723	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 11E	1040611	PRJNA67725	67725	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 24F	1040612	PRJNA67727	67727	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 23C	1040613	PRJNA67729	67729	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 22F	1040614	PRJNA67731	67731	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 23K	1040615	PRJNA67735	67735	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 18M	1040616	PRJNA67737	67737	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 22C	1040617	PRJNA67739	67739	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 18K	1040618	PRJNA67741	67741	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 18E	1040619	PRJNA67745	67745	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 24E	1040620	PRJNA67749	67749	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 23G	1040621	PRJNA67751	67751	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 25O	1040622	PRJNA67753	67753	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 28H	1040623	PRJNA67755	67755	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 25M	1040624	PRJNA67757	67757	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 22O	1040625	PRJNA67759	67759	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 22K	1040626	PRJNA67765	67765	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 11C	1040627	PRJNA67767	67767	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 18J	1040628	PRJNA67769	67769	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 25P	1040629	PRJNA67771	67771	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 23F	1040630	PRJNA67773	67773	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 28I	1040631	PRJNA67775	67775	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 28A	1040632	PRJNA67777	67777	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 28C	1041952	PRJNA67779	67779	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 12C	1094981	PRJNA75209	75209	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans P87	1094984	PRJNA75215	75215	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans GC75	1094988	PRJNA75223	75223	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans P57072	1094990	PRJNA75227	75227	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans P37039	1094993	PRJNA75233	75233	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans P75010	1094994	PRJNA75235	75235	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans SC5314	237561	PRJNA120009	120009	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Candida albicans 3153A	1182531	PRJNA165021	165021	Fungi	Ascomycetes	14.89	33.3	GCA_000447595.1	-	-	-	AVAY01	100	-	-	2013/08/15	2013/08/15	Scaffolds or contigs	Broad Institute	-
Candida albicans CHN1	1182532	PRJNA165023	165023	Fungi	Ascomycetes	14.7275	33.3	GCA_000447555.1	-	-	-	AVAW01	84	-	-	2013/08/15	2013/08/15	Scaffolds or contigs	Broad Institute	-
Candida albicans A20	1182533	PRJNA165025	165025	Fungi	Ascomycetes	14.553	33.4	GCA_000447575.1	-	-	-	AVAX01	71	-	-	2013/08/15	2013/08/15	Scaffolds or contigs	Broad Institute	-
Candida albicans A48	1182534	PRJNA165027	165027	Fungi	Ascomycetes	14.7	33.3	GCA_000447535.1	-	-	-	AVAV01	87	-	-	2013/08/15	2013/08/15	Scaffolds or contigs	Broad Institute	-
Candida albicans A67	1182535	PRJNA165029	165029	Fungi	Ascomycetes	14.6882	33.4	GCA_000447515.1	-	-	-	AVAU01	64	-	-	2013/08/15	2013/08/15	Scaffolds or contigs	Broad Institute	-
Candida albicans A92	1182536	PRJNA165031	165031	Fungi	Ascomycetes	14.6074	33.4	GCA_000447475.1	-	-	-	AVAS01	54	-	-	2013/08/15	2013/08/15	Scaffolds or contigs	Broad Institute	-
Candida albicans A123	1182537	PRJNA165033	165033	Fungi	Ascomycetes	14.638	33.3	GCA_000447455.1	-	-	-	AVAR01	75	-	-	2013/08/15	2013/08/15	Scaffolds or contigs	Broad Institute	-
Candida albicans A155	1182538	PRJNA165035	165035	Fungi	Ascomycetes	14.4651	33.4	GCA_000447615.1	-	-	-	AVAZ01	84	-	-	2013/08/15	2013/08/15	Scaffolds or contigs	Broad Institute	-
